,Station,Longitude,Latitude,Ref. value,Plot Color
2045,BLUFF,-109.5575,37.2825,-0.001402443,No Color
383,BLYTHE,NA,NA,-0.001307101,No Color
41,BLYTHE AP,-114.7142,33.6186,-0.000754589,No Color
65,BOCA,-120.0936,39.3886,-0.000632218,No Color
2502,BOERNE,-98.7353,29.7986,-2.34E-05,No Color
1270,BOISE AIR TERMINAL,-116.2406,43.5667,-0.002331603,No Color
1398,BOISE CITY 2 E,-102.4806,36.7236,-0.00092446,No Color
38,BOISE LUCKY PEAK DAM,-116.0542,43.5253,-0.002574157,No Color
2311,BOLIVAR 1 NE,-93.3911,37.6167,-0.000704256,No Color
2177,BOLIVAR WTR WKS,-88.9892,35.2622,-0.001347392,No Color
1607,BONDURANT,-110.4358,43.2278,-0.000216105,No Color
1050,BONHAM 3NNE,-96.1661,33.6403,0.000398476,Dark Blue
577,BONNERS FERRY,-116.3103,48.6928,-0.001984688,No Color
262,BONNEVILLE DAM,-121.9519,45.6361,-0.001842965,No Color
1670,BONNY DAM 2NE,-102.1192,39.6567,-0.000871013,No Color
1794,BOONEVILLE,-88.5622,34.6344,-0.000914471,No Color
1212,BOONTON 1 SE,-74.4033,40.8922,-0.001824749,No Color
1011,BOONVILLE 4 SSW,-75.3697,43.4361,-0.001121173,No Color
2010,BORGER,-101.4542,35.6364,-0.000101386,No Color
519,BORINQUEN AP,-67.1294,18.4981,-0.000407691,No Color
2076,BOSQUE DEL APACHE,-106.8908,33.8044,-0.000656815,No Color
899,BOSTON LOGAN INTL AP,-71.0106,42.3606,-0.001130221,No Color
1497,BOTTINEAU,-100.4525,48.8217,-0.000804171,No Color
51,BOULDER,-111.42,37.905,-0.001206753,No Color
149,BOUSE,-114.0242,33.9431,-0.000127605,No Color
2397,BOWIE,-97.8472,33.5511,0.000401081,Dark Blue
1928,BOWLING GREEN WARREN CO AP,-86.4239,36.9647,-0.001697208,No Color
1517,BOWLING GREEN WWTP,-83.6111,41.3831,-0.000569502,No Color
