,Station,Longitude,Latitude,Ref. value,Plot Color
2076,BOSQUE DEL APACHE,-106.8908,33.8044,-0.007541906,No Color
899,BOSTON LOGAN INTL AP,-71.0106,42.3606,-0.004857813,No Color
1497,BOTTINEAU,-100.4525,48.8217,-0.00201947,No Color
51,BOULDER,-111.42,37.905,-0.006471581,No Color
149,BOUSE,-114.0242,33.9431,-0.00562167,No Color
2397,BOWIE,-97.8472,33.5511,0.005334181,Darkest Green
1928,BOWLING GREEN WARREN CO AP,-86.4239,36.9647,-0.006145551,No Color
1517,BOWLING GREEN WWTP,-83.6111,41.3831,-0.001087275,No Color
881,BOYSEN DAM,-108.1633,43.4053,0.002416809,Darkest Green
1272,BOZEMAN GALLATIN FLD,-111.1608,45.7881,-0.003467462,No Color
1308,BOZEMAN MONTANA ST U,-111.0453,45.6622,-0.003913159,No Color
1454,BRACKETTVILLE,-100.4144,29.3167,-0.003350524,No Color
810,BRADFORD 4SW RES 5,-78.7144,41.8975,-0.004960018,No Color
919,BRADFORD RGNL AP,-78.6403,41.8031,-0.006371461,No Color
1510,BRADY,-99.3492,31.1444,-0.006696116,No Color
987,BRAINERD,-94.2086,46.3433,-0.006156372,No Color
1845,BRANDENBERG,-106.2314,45.8161,-0.004415223,No Color
1300,BRASSUA DAM,-69.812,45.6603,-0.005791594,No Color
2460,BRECKENRIDGE,-98.9017,32.75,-0.002760492,No Color
1088,BREDETTE,-105.2992,48.5156,-0.000517186,No Color
349,BREMERTON,-122.6828,47.5689,-0.002568297,No Color
2453,BRENHAM,-96.3972,30.1592,-0.003596569,No Color
2204,BREVARD,-82.7358,35.2283,-0.001910769,No Color
1763,BREWTON 3 SSE,-87.055,31.0583,-0.004002629,No Color
1589,BRIDGEHAMPTON,-72.3069,40.9461,-0.005978886,No Color
1537,BRIDGEPORT,-97.7761,33.2064,-0.004424508,No Color
2668,BRIDGEPORT 5 NW,-85.8008,34.9786,-0.00173236,No Color
1004,BRIDGEPORT SIKORSKY MEM AP,-73.1289,41.1583,-0.006491855,No Color
1249,BRIDGER 2 N,-108.9092,45.3261,-0.003555973,No Color
1659,BRIDGEWATER,-97.5017,43.5525,-0.000207815,No Color
1007,BRIDGTON 3 NW,-70.7467,44.07,-0.00031927,No Color
489,BRIGHT ANGEL RS,-112.062,36.2147,-0.005720503,No Color
2557,BRINKLEY,-91.2153,34.8822,-0.005298323,No Color
1898,BRISTOL TRI CITY AP,-82.4044,36.4731,-0.002044614,No Color
680,BRITT,-93.8014,43.1017,0.002714046,Darkest Green
1126,BRITTON,-97.75,45.7908,-0.004397537,No Color
453,BROADUS,-105.4072,45.4442,-0.010286281,No Color
1187,BROCKTON,-71.005,42.0478,-0.007924518,No Color
2526,BROCKWAY 3 WSW,-105.83,47.2875,-0.005192308,No Color
1378,BRODHEAD,-89.3861,42.6181,-0.00647298,No Color
1273,BROKEN BOW 2 W,-99.675,41.4083,0.000368477,No Color
531,BROOKGREEN GARDENS,-79.0975,33.5214,-0.007976595,No Color
1413,BROOKHAVEN CITY,-90.4581,31.5447,-0.001633986,No Color
1723,BROOKINGS 2 NE,-96.7686,44.3253,-0.004823379,No Color
2501,BROOKLET 1 W,-81.673,32.375,-0.005974483,No Color
2432,BROWNFIELD #2,-102.2681,33.1908,-0.006371205,No Color
861,BROWNSVILLE,-97.4186,25.9156,-0.008571341,No Color
2467,BROWNWOOD 2ENE,-98.9456,31.7383,-0.001038467,No Color
956,BRUNSWICK,-93.1331,39.4247,3.61E-05,No Color
948,BRUNSWICK MALCOLM MCKINNON AP,-81.3908,31.1522,-0.00548759,No Color
217,BRYCE CANYON AP,-112.1456,37.7064,-0.003371496,No Color
265,BRYCE CANYON NP HQRS,-112.1689,37.6411,-0.005357733,No Color
2143,BUCHANAN,-79.6817,37.5247,-0.008761935,No Color
1830,BUCKHANNON,-80.22,38.9803,-0.003229585,No Color
839,BUCYRUS,-83.6111,40.8128,-0.00409279,No Color
1184,BUENA VISTA 2S,-106.1275,38.8247,-0.003072361,No Color
909,BUFFALO,-78.7369,42.9486,-0.004390552,No Color
2355,BUFFALO 2N,-93.1067,37.6667,0.000764458,Dark Green
1759,BUFFALO 2NE,-93.84,45.1969,-0.000606717,No Color
464,BUFFALO BILL DAM,-109.1675,44.5075,-0.002238887,No Color
1204,BUFFUMVILLE LAKE,-71.9075,42.1164,-0.007455509,No Color
1124,BUNKIE,-92.1786,30.9594,-0.005748252,No Color
48,BURBANK VLY PUMP PLT,-118.3481,34.1867,-0.002013394,No Color
1833,BURKES GARDEN,-81.3358,37.0925,-0.000814264,No Color
1287,BURLEY MUNI AP,-113.7661,42.5417,-0.003673055,No Color
1993,BURLINGTON FIRE STN #5,-79.4481,36.0603,-0.005181678,No Color
823,BURLINGTON INTL AP,-73.15,44.4683,-0.00955697,No Color
1908,BURLINGTON MUNI AP,-91.1253,40.7833,-0.005520435,No Color
1484,BURNET,-98.2339,30.7586,-0.002876199,No Color
78,BURNEY,-121.6547,40.8803,-0.004914806,No Color
2716,BURR OAK 1N,-98.3036,39.8775,-0.025042309,No Color
2651,BURWELL,-99.1433,41.7769,-0.005102332,No Color
402,BUSBY,-106.9597,45.5397,-0.006269472,No Color
1113,BUSHNELL 1 E,-82.0894,28.6664,-0.000113313,No Color
2326,BUTLER 4W,-94.405,38.2611,-0.004780565,No Color
1115,BUTTE 5SE,-100.5847,47.7947,0.001138713,Dark Green
1321,BUTTE BERT MOONEY AP,-112.5006,45.9647,-0.003018201,No Color
205,BUTTONWILLOW,-119.4731,35.4047,-0.007331765,No Color
957,BYERS 5 ENE,-104.1275,39.7403,-0.005673842,No Color
898,CABINET GORGE,-116.0572,48.0864,-0.001221057,No Color
396,CACHUMA LAKE,-119.9817,34.5822,-0.005974872,No Color
560,CADILLAC,-85.3967,44.2656,-0.007369018,No Color
2669,CAIRO 1SW,-84.2175,30.8697,-0.000542044,No Color
1243,CAIRO 3N,-89.1856,37.0422,0.005859804,Darkest Green
662,CALEDONIA,-91.5028,43.6308,-0.004141155,No Color
