,Station,Longitude,Latitude,Ref. value,Plot Color
1980,CASCADE 5 S,-111.71,47.2194,0.002963005,No Color
1274,CASPER NATRONA CO AP,-106.4636,42.8975,0.005134556,Light Yellow
723,CASS LAKE,-94.6147,47.3847,0.007863686,Yellow
968,CASTANA EXP FARM,-95.8364,42.0633,0.00167166,No Color
469,CASTLE DALE,-111.0125,39.2078,0.00476277,Light Yellow
304,CASTLE HOT SPRINGS,-112.3617,33.9825,0.003115599,No Color
653,CAVALIER 7NW,-97.7014,48.8628,-0.001822142,No Color
2042,CAVE RUN LAKE,-83.5328,38.1228,0.007162971,Yellow
1531,CAVENDISH,-72.5989,43.3847,0.006332823,Yellow
2614,CEDAR BLUFF DAM,-99.7231,38.7978,0.002577956,No Color
549,CEDAR CITY MUNI AP,-113.0944,37.7086,-0.001603305,No Color
385,CEDAR ISLAND,-76.3,34.9833,0.005202349,Light Yellow
98,CEDAR LAKE,-121.7561,47.4144,0.000532979,No Color
2493,CEDAR POINT,-109.0828,37.7158,0.004555842,Light Yellow
2019,CEDAR RAPIDS MUNI AP,-91.7167,41.8833,-0.001524329,No Color
1868,CEDAR RAPIDS NO 1,-91.5881,42.05,0.002813819,No Color
1279,CEDARTOWN,-85.2339,34.0589,0.001850608,No Color
1295,CEDARVILLE,-120.1803,41.5306,0.001466324,No Color
1815,CELINA 3 NE,-84.5364,40.5694,0.002847389,No Color
2297,CELO 2 S,-82.1769,35.8297,0.011078294,Darkest Yellow
2307,CENTER,-94.1642,31.8075,0.008386359,Dark Yellow
2034,CENTER 4 SSW,NA,NA,0.004888354,Light Yellow
1853,CENTER 4SE,-101.2119,47.0644,0.00246212,No Color
1012,CENTERBURG 2 SE,-82.6547,40.2914,0.006507652,Yellow
1467,CENTERVILLE,-95.9744,31.2581,0.002780176,No Color
781,CENTERVILLE 6 SE,-96.9033,43.0431,0.004820075,Light Yellow
1621,CENTRAL CITY,-98.0283,41.1222,0.003549994,No Color
1986,CERRO,-105.5956,36.7408,0.000885708,No Color
1566,CHADRON 3SW,-103.0533,42.8083,0.002455491,No Color
2053,CHAMA,-106.5781,36.9178,0.003826798,No Color
2485,CHAMBERS,-98.7467,42.2031,0.003006056,No Color
2480,CHAMBERSBURG 1 ESE,-77.6394,39.9353,0.006700203,Yellow
2167,CHANUTE MARTIN JOHNSON AP,-95.4842,37.6703,0.002813242,No Color
1987,CHAPEL HILL 2 W,-79.0794,35.9086,0.007696048,Yellow
301,CHARDON,-81.1833,41.5833,0.002002065,No Color
1393,CHARITON 1 E,-93.2792,41.0164,-0.002013611,No Color
711,CHARLES CITY,-92.6717,43.0603,0.00027185,No Color
1978,CHARLESTON CITY,-79.9319,32.78,0.008439523,Dark Yellow
2141,CHARLESTON INTL AP,-80.0403,32.8986,0.006879843,Yellow
1624,CHARLESTON YEAGER AP,-81.59,38.3794,0.005734703,Light Yellow
2168,CHARLOTTE AMALIE AP,-64.9667,18.3331,0.009796753,Darkest Yellow
1647,CHARLOTTE COURT HOUSE,-78.6497,37.0522,0.00645613,Yellow
2145,CHARLOTTE DOUGLAS AP,-80.9553,35.2236,0.004664323,Light Yellow
1198,CHARLOTTEBURG RESERVE,-74.4233,41.0347,0.009787449,Darkest Yellow
1266,CHARLOTTESVILLE 2W,-78.5225,38.0328,0.001824106,No Color
1144,CHARMANY FARM,-89.4819,43.0597,0.003301168,No Color
2579,CHASE CITY,-78.4756,36.7775,-0.002072956,No Color
2498,CHATHAM,-79.4103,36.8225,0.002081054,No Color
1792,CHATOM,-88.2503,31.4714,0.001855571,No Color
1795,CHATTANOOGA LOVELL AP,-85.2014,35.0311,0.011099823,Darkest Yellow
1176,CHEBOYGAN,-84.4725,45.6528,0.002765027,No Color
1554,CHEESMAN,-105.2783,39.2203,-0.000779799,No Color
284,CHELAN,-120.0381,47.8361,0.006339566,Yellow
111,CHEMULT,-121.7894,43.2292,0.00131076,No Color
1899,CHENOA,-88.7108,40.7394,0.002338815,No Color
734,CHERAW,-79.8833,34.7319,0.008026995,Dark Yellow
324,CHERRY POINT MCAS,-76.8833,34.9,0.002632782,No Color
1692,CHESTER 1 SE,-81.1958,34.6847,-0.005071584,No Color
1035,CHEWELAH,-117.7408,48.2733,0.006575326,Yellow
2531,CHEYENNE,-104.8061,41.1519,0.003781716,No Color
1601,CHEYENNE WELLS,-102.3508,38.8219,0.006342005,Yellow
1772,CHICAGO MIDWAY AP 3SW,-87.7775,41.7372,0.003656565,No Color
1427,CHICAGO OHARE INTL AP,-87.9336,41.995,0.002539193,No Color
286,CHICO UNIV FARM,-121.8211,39.6911,0.007366195,Yellow
1161,CHIEF JOSEPH DAM,-119.6483,47.9967,0.004950533,Light Yellow
2284,CHILDERSBURG WTR PL,-86.3431,33.285,0.004411066,Light Yellow
2394,CHILDRESS MUNI AP,-100.2831,34.4272,0.004745418,Light Yellow
266,CHILLY BARTON FLAT,-113.8289,43.9772,0.003956215,Light Yellow
663,CHILTON,-88.1469,44.0328,0.00293963,No Color
2628,CHINA LAKE NAF,-117.6931,35.6875,-0.000896519,No Color
73,CHINO VALLEY,-112.4567,34.7569,0.008632134,Dark Yellow
856,CHINOOK,-109.2256,48.5883,-0.001518863,No Color
1717,CHIPLEY,-85.4847,30.7836,0.004195168,Light Yellow
921,CHIPPEWA LAKE,-81.9361,41.0517,0.001735898,No Color
1057,CHISOS BASIN,-103.3003,29.2703,0.000184149,No Color
1837,CHOTEAU,-112.1919,47.8206,-0.001347817,No Color
1037,CHRISTIANSTED AP,-64.8056,17.7028,0.002371628,No Color
1841,CHUGWATER,-104.8222,41.7594,0.00390496,Light Yellow
1954,CHULA VISTA,-117.0858,32.64,0.013963064,Darkest Yellow
196,CHURCH BUTTES GAS PLT,-110.0856,41.3975,0.003061755,No Color
2100,CIMARRON,-100.3456,37.8131,-0.00027482,No Color
1703,CIMARRON 4 SW,-104.9456,36.4661,0.003316688,No Color
1857,CINCINNATI LUNKEN AP,-84.4189,39.1033,0.001462965,No Color
840,CINCINNATI NORTHERN KY AP,-84.6717,39.0431,0.002592502,No Color
2674,CIRCLE HOT SPRINGS,-144.6422,65.4939,-0.006206216,No Color
2197,CLANTON,-86.6522,32.8203,0.001362168,No Color
1156,CLAREMORE 2 ENE,-95.5808,36.3225,0.003355834,No Color
2587,CLARENDON,-100.8903,34.9325,0.004302869,Light Yellow
2422,CLARINDA,-95.0192,40.7244,-0.004056779,No Color
