,Station,Longitude,Latitude,Ref. value,Plot Color
2413,BENBROOK DAM,-97.4439,32.6475,0.001004565,Light Red
69,BEND,-121.285,44.0569,0.000921621,Light Red
1580,BENKELMAN,-101.5325,40.0503,0.000673714,No Color
1680,BENT CREEK,-82.5967,35.5044,0.000199396,No Color
2612,BEOWAWE,-116.475,40.5903,0.00024854,No Color
1672,BEREA COLLEGE,-84.2908,37.5733,0.002189339,Red
1143,BERGLAND DAM,-89.5475,46.5869,0.00038178,No Color
390,BERKELEY,-122.2606,37.8744,-0.000470234,No Color
1918,BERNE WWTP,-84.9305,40.6683,0.001746811,Red
455,BETATAKIN,-110.5411,36.6778,0.002714271,Dark Red
424,BETHEL AP,-161.8292,60.785,0.001783481,Red
163,BETTLES AP,-151.5089,66.9161,-0.000263537,No Color
501,BEULAH,-118.1522,43.9092,0.000594525,No Color
433,BICKLETON,-120.3006,45.9981,0.000645006,No Color
443,BIG BAR 4 E,-123.2078,40.7406,-0.000571605,No Color
1039,BIG DELTA AP,-145.7214,63.9944,0.000361726,No Color
685,BIG FALLS,-93.7994,48.1969,0.001821303,Red
240,BIG PINEY MARBLETON AP,-110.1075,42.5844,0.000968865,Light Red
569,BIG RAPIDS WTR WKS,-85.4822,43.7072,0.001872386,Red
1511,BIG SPRING,-101.4536,32.2442,0.001452176,Light Red
997,BIG SPRINGS,-102.1467,41.0469,-0.000279637,No Color
914,BIG TIMBER,-109.9503,45.8328,0.000405349,No Color
590,BIGFORK 13 S,-114.0331,47.875,0.001413707,Light Red
2464,BILLINGS,-97.4472,36.5297,6.81E-05,No Color
847,BILLINGS LOGAN INTL AP,-108.5422,45.8069,0.001640064,Red
347,BILLINGS WTP,-108.4811,45.7717,0.001076847,Light Red
2510,BILOXI,-89.0008,30.3931,-3.41E-05,No Color
2667,BINGHAM 2 NE,-106.3494,33.9114,-0.000214368,No Color
998,BINGHAMTON,-75.985,42.1997,0.002918768,Dark Red
1224,BIRCH HILL DAM,-72.1233,42.6325,0.001676245,Red
1941,BIRMINGHAM AP,-86.745,33.5656,0.002021639,Red
353,BISHOP AP,-118.3581,37.3711,0.000281944,No Color
2146,BISHOPVILLE 1ENE,-80.2392,34.2169,0.001199046,Light Red
1840,BISMARCK,-100.7603,46.7708,0.001852548,Red
1348,BISON,-102.465,45.5286,0.002043572,Red
2595,BISON 3NW,-99.235,38.5636,-0.000899118,No Color
2078,BITTER LAKES WR,-104.4042,33.4594,0.000393561,No Color
4,BLACK RIVER PUMPS,-109.7517,33.4783,0.001035726,Light Red
816,BLACK ROCK,-112.9539,38.7075,0.000475237,No Color
1239,BLACKFOOT FIRE DEPT,-112.3531,43.1969,0.002907792,Dark Red
2248,BLACKSBURG NWSO,-80.4133,37.2017,0.0005964,No Color
1464,BLAINE,-122.7928,48.9775,0.000854041,No Color
1920,BLAIRSVILLE EXP STN,-83.9444,34.8544,0.000235409,No Color
1884,BLAKELY,-84.5553,31.2239,-0.000560325,No Color
2358,BLAKELY MTN DAM,-93.1947,34.5697,4.24E-05,No Color
2544,BLANCHARD 2 SSW,-97.67,35.1183,0.000163285,No Color
1500,BLANCO,-98.4286,30.1061,-4.00E-05,No Color
2431,BLANDING,-109.4847,37.6131,0.004398356,Darkest Red
1165,BLOOMER,-91.4886,45.0956,0.001122952,Light Red
1872,BLOOMFIELD 1 WNW,-92.4394,40.7597,0.001106126,Light Red
1359,BLOOMFIELD 3 SE,-107.9603,36.6669,0.001052486,Light Red
889,BLOOMINGDALE,-85.9625,42.3842,0.001082207,Light Red
2132,BLOOMINGTON IN UNIV,-86.5214,39.1742,0.001067687,Light Red
181,BLUE CANYON AP,-120.7103,39.2775,0.003208445,Darkest Red
1553,BLUEFIELD MERCER CO AP,-81.2078,37.2958,0.00347624,Darkest Red
1774,BLUESTONE LAKE,-80.8831,37.6411,0.001318992,Light Red
2045,BLUFF,-109.5575,37.2825,0.000276331,No Color
383,BLYTHE,NA,NA,0.002599485,Dark Red
41,BLYTHE AP,-114.7142,33.6186,0.000186271,No Color
65,BOCA,-120.0936,39.3886,0.000129409,No Color
2502,BOERNE,-98.7353,29.7986,0.000707696,No Color
1270,BOISE AIR TERMINAL,-116.2406,43.5667,0.002491761,Dark Red
1398,BOISE CITY 2 E,-102.4806,36.7236,0.000658689,No Color
38,BOISE LUCKY PEAK DAM,-116.0542,43.5253,0.000778502,No Color
2311,BOLIVAR 1 NE,-93.3911,37.6167,0.000425545,No Color
2177,BOLIVAR WTR WKS,-88.9892,35.2622,0.000823711,No Color
1607,BONDURANT,-110.4358,43.2278,0.000209874,No Color
1050,BONHAM 3NNE,-96.1661,33.6403,0.000302224,No Color
577,BONNERS FERRY,-116.3103,48.6928,0.000152395,No Color
262,BONNEVILLE DAM,-121.9519,45.6361,0.000886188,Light Red
1670,BONNY DAM 2NE,-102.1192,39.6567,0.001705424,Red
1794,BOONEVILLE,-88.5622,34.6344,0.000171066,No Color
1212,BOONTON 1 SE,-74.4033,40.8922,0.003262072,Darkest Red
1011,BOONVILLE 4 SSW,-75.3697,43.4361,0.000896197,Light Red
2010,BORGER,-101.4542,35.6364,0.001307022,Light Red
519,BORINQUEN AP,-67.1294,18.4981,0.00146841,Light Red
2076,BOSQUE DEL APACHE,-106.8908,33.8044,1.11E-05,No Color
899,BOSTON LOGAN INTL AP,-71.0106,42.3606,0.00117764,Light Red
1497,BOTTINEAU,-100.4525,48.8217,0.001365452,Light Red
51,BOULDER,-111.42,37.905,0.002279595,Red
149,BOUSE,-114.0242,33.9431,0.000442338,No Color
2397,BOWIE,-97.8472,33.5511,-0.00233678,No Color
1928,BOWLING GREEN WARREN CO AP,-86.4239,36.9647,0.001744926,Red
1517,BOWLING GREEN WWTP,-83.6111,41.3831,0.002727234,Dark Red
881,BOYSEN DAM,-108.1633,43.4053,-0.000390133,No Color
1272,BOZEMAN GALLATIN FLD,-111.1608,45.7881,0.000213675,No Color
1308,BOZEMAN MONTANA ST U,-111.0453,45.6622,0.00088939,Light Red
1454,BRACKETTVILLE,-100.4144,29.3167,0.000223873,No Color
810,BRADFORD 4SW RES 5,-78.7144,41.8975,0.002422298,Red
919,BRADFORD RGNL AP,-78.6403,41.8031,0.002581589,Dark Red
1510,BRADY,-99.3492,31.1444,0.000948527,Light Red
987,BRAINERD,-94.2086,46.3433,0.002111702,Red
1845,BRANDENBERG,-106.2314,45.8161,0.000852529,No Color
1300,BRASSUA DAM,-69.812,45.6603,0.002215248,Red
2460,BRECKENRIDGE,-98.9017,32.75,0.000633257,No Color
1088,BREDETTE,-105.2992,48.5156,0.00087669,Light Red
349,BREMERTON,-122.6828,47.5689,0.001725399,Red
2453,BRENHAM,-96.3972,30.1592,0.000824429,No Color
2204,BREVARD,-82.7358,35.2283,0.000180068,No Color
1763,BREWTON 3 SSE,-87.055,31.0583,0.000871095,Light Red
1589,BRIDGEHAMPTON,-72.3069,40.9461,0.001381262,Light Red
1537,BRIDGEPORT,-97.7761,33.2064,-0.000142371,No Color
2668,BRIDGEPORT 5 NW,-85.8008,34.9786,-0.000502679,No Color
1004,BRIDGEPORT SIKORSKY MEM AP,-73.1289,41.1583,0.002830647,Dark Red
1249,BRIDGER 2 N,-108.9092,45.3261,0.000507121,No Color
1659,BRIDGEWATER,-97.5017,43.5525,-0.000109015,No Color
1007,BRIDGTON 3 NW,-70.7467,44.07,-0.001425918,No Color
489,BRIGHT ANGEL RS,-112.062,36.2147,0.000889761,Light Red
2557,BRINKLEY,-91.2153,34.8822,0.000698093,No Color
1898,BRISTOL TRI CITY AP,-82.4044,36.4731,1.34E-05,No Color
680,BRITT,-93.8014,43.1017,9.39E-05,No Color
1126,BRITTON,-97.75,45.7908,0.000969001,Light Red
453,BROADUS,-105.4072,45.4442,0.001298267,Light Red
1187,BROCKTON,-71.005,42.0478,0.002398528,Red
2526,BROCKWAY 3 WSW,-105.83,47.2875,0.000873473,Light Red
1378,BRODHEAD,-89.3861,42.6181,0.002248844,Red
1273,BROKEN BOW 2 W,-99.675,41.4083,0.000260452,No Color
531,BROOKGREEN GARDENS,-79.0975,33.5214,0.001912422,Red
1413,BROOKHAVEN CITY,-90.4581,31.5447,-0.000441056,No Color
1723,BROOKINGS 2 NE,-96.7686,44.3253,0.001688753,Red
2501,BROOKLET 1 W,-81.673,32.375,0.000505155,No Color
2432,BROWNFIELD #2,-102.2681,33.1908,0.001876402,Red
861,BROWNSVILLE,-97.4186,25.9156,0.00103844,Light Red
2467,BROWNWOOD 2ENE,-98.9456,31.7383,-0.000736285,No Color
956,BRUNSWICK,-93.1331,39.4247,0.001428316,Light Red
948,BRUNSWICK MALCOLM MCKINNON AP,-81.3908,31.1522,0.000679352,No Color
217,BRYCE CANYON AP,-112.1456,37.7064,0.000319333,No Color
265,BRYCE CANYON NP HQRS,-112.1689,37.6411,0.001289752,Light Red
2143,BUCHANAN,-79.6817,37.5247,0.000655822,No Color
1830,BUCKHANNON,-80.22,38.9803,0.00082824,No Color
839,BUCYRUS,-83.6111,40.8128,0.002565003,Dark Red
1184,BUENA VISTA 2S,-106.1275,38.8247,0.000959427,Light Red
909,BUFFALO,-78.7369,42.9486,0.001775508,Red
2355,BUFFALO 2N,-93.1067,37.6667,-0.000841038,No Color
1759,BUFFALO 2NE,-93.84,45.1969,0.000411875,No Color
464,BUFFALO BILL DAM,-109.1675,44.5075,0.000314015,No Color
1204,BUFFUMVILLE LAKE,-71.9075,42.1164,0.000576424,No Color
1124,BUNKIE,-92.1786,30.9594,0.000626044,No Color
48,BURBANK VLY PUMP PLT,-118.3481,34.1867,0.000100225,No Color
1833,BURKES GARDEN,-81.3358,37.0925,-0.000178859,No Color
1287,BURLEY MUNI AP,-113.7661,42.5417,0.000227516,No Color
1993,BURLINGTON FIRE STN #5,-79.4481,36.0603,0.00164241,Red
823,BURLINGTON INTL AP,-73.15,44.4683,0.003548498,Darkest Red
1908,BURLINGTON MUNI AP,-91.1253,40.7833,0.002884776,Dark Red
1484,BURNET,-98.2339,30.7586,0.000503823,No Color
78,BURNEY,-121.6547,40.8803,0.000371607,No Color
2716,BURR OAK 1N,-98.3036,39.8775,0.001352513,Light Red
2651,BURWELL,-99.1433,41.7769,0.000221417,No Color
402,BUSBY,-106.9597,45.5397,0.001063015,Light Red
1113,BUSHNELL 1 E,-82.0894,28.6664,0.000197008,No Color
2326,BUTLER 4W,-94.405,38.2611,0.000712243,No Color
1115,BUTTE 5SE,-100.5847,47.7947,-0.00054172,No Color
1321,BUTTE BERT MOONEY AP,-112.5006,45.9647,0.00014479,No Color
205,BUTTONWILLOW,-119.4731,35.4047,0.001889554,Red
957,BYERS 5 ENE,-104.1275,39.7403,0.001072564,Light Red
898,CABINET GORGE,-116.0572,48.0864,0.000257692,No Color
396,CACHUMA LAKE,-119.9817,34.5822,0.000723747,No Color
560,CADILLAC,-85.3967,44.2656,0.003931359,Darkest Red
2669,CAIRO 1SW,-84.2175,30.8697,-0.000165793,No Color
1243,CAIRO 3N,-89.1856,37.0422,-0.00174557,No Color
662,CALEDONIA,-91.5028,43.6308,0.001566816,Light Red
1926,CALHOUN FALLS,-82.5883,34.0906,0.000781652,No Color
2000,CALHOUN RSCH STN,-92.3486,32.5133,0.000332634,No Color
903,CALICO ROCK 2 WSW,-92.1636,36.1092,-6.52E-05,No Color
2350,CALIFORNIA,-92.5545,38.6278,-0.000850748,No Color
224,CALLAHAN,-122.8045,41.3111,0.000239196,No Color
2619,CAMARILLO AP,-119.0833,34.2167,0.000821944,No Color
1080,CAMBRIDGE 5ESE,-93.1264,45.5506,0.000684005,No Color
2223,CAMDEN 1,-92.8236,33.59,0.000415354,No Color
1965,CAMILLA 3SE,-84.2036,31.1903,-0.001133246,No Color
475,CAMP CROOK,-103.9744,45.5489,0.000590173,No Color
2283,CAMP HILL 2NW,-85.6561,32.8236,-0.000737384,No Color
400,CAMPO,-116.4728,32.6233,4.84E-05,No Color
401,CANAL POINT USDA,-80.6256,26.8639,-0.000219062,No Color
1543,CANANDAIGUA 3 S,-77.2808,42.8453,0.003166974,Darkest Red
687,CANBY,-96.2697,44.7183,0.000817189,No Color
955,CANOE BROOK,-74.3539,40.7436,0.003422148,Darkest Red
